target,text,num_characters,num_words,num_sentences
0,sorri pain ok meet anoth night spent late afternoon casualti mean done stuff42moro includ time sheet sorri,195,44,4
0,smile pleasur smile pain smile troubl pour like rain smile sum1 hurt u smile becoz someon still love see u smile,141,28,2
1,pleas call custom servic repres 0800 169 6031 guarante cash prize,143,24,1
0,havent plan buy later check alreadi lido got 530 show e afternoon u finish work alreadi,107,23,3
1,free rington wait collect simpli text password 85069 verifi get usher britney fml,125,26,4
0,watch telugu movi wat abt u,33,8,1
0,see finish load loan pay,51,13,2
0,hi wk ok hol ye bit run forgot hairdress appoint four need get home n shower beforehand caus prob u ham,184,47,5
0,pleas text anymor noth els say,57,14,2
0,okay name ur price long legal wen pick u ave x am xx,81,23,3
0,still look car buy gone 4the drive test yet,76,19,2
0,wow right mean guess gave boston men chang search locat nyc someth chang cuz signin page still say boston,183,44,5
0,umma life vava umma love lot dear,44,10,1
0,thank lot wish birthday thank make birthday truli memor,95,19,2
0,aight hit get cash,43,12,1
0,would ip address test consid comput minecraft server,82,15,1
0,know grumpi old peopl mom like better lie alway one play joke,115,28,4
0,dont worri guess busi,30,9,2
0,plural noun research,40,9,1
0,go,31,6,1
0,ok wif co like 2 tri new thing scare u dun like mah co u said loud,96,28,3
1,gent tri contact last weekend draw show prize guarante call claim code k52 valid 12hr 150ppm,161,33,7
0,wa ur openin sentenc formal anyway fine juz tt eatin much n puttin weight haha anythin special happen,143,34,3
0,enter cabin pa said happi boss felt special askd 4 lunch lunch invit apart went,156,40,6
1,winner u special select 2 receiv 4 holiday flight inc speak live oper 2 claim,155,32,1
0,goodo ye must speak friday ratio tortilla need,72,14,2
0,hmm uncl inform pay school directli pl buy food,86,20,2
1,privat 2004 account statement 07742676969 show 786 unredeem bonu point claim call 08719180248 identifi code 45239 expir,144,23,3
1,urgent mobil award bonu caller prize final tri contact u call landlin 09064019788 box42wr29c 150ppm,159,30,4
0,new address pair malarki,53,12,1
1,today voda number end 7548 select receiv 350 award match pleas call 08712300220 quot claim code 4041 standard rate app,156,29,2
0,go sao mu today done 12,52,14,2
0,predict wat time finish buy,43,9,1
0,good stuff,20,6,1
0,know yetund sent money yet sent text bother send dont involv anyth impos anyth first place apologis,244,56,4
0,room,22,6,1
0,hey girl r u hope u r well del r bak long time c give call sum time lucyxx,107,31,5
0,k k much cost,28,11,1
0,home,9,4,1
0,dear call accomod,39,7,1
0,first answer question,25,5,1
1,sunshin quiz wkli q win top soni dvd player u know countri algarv txt ansr sp tyron,128,30,4
1,want 2 get laid tonight want real dog locat sent direct 2 ur mob join uk largest dog network bt txting gravel 69888 nt ec2a 150p,162,36,6
0,haf msn yiju,38,10,2
0,call meet,34,9,2
0,check room befor activ,46,10,2
1,rcv msg chat svc free hardcor servic text go 69988 u get noth u must age verifi yr network tri,155,35,2
0,got c lazi type forgot lect saw pouch like v nice,87,24,4
0,k text way,33,10,1
0,sir wait mail,27,7,1
0,swt thought get tire littl thing 4 lovabl person coz somtim littl thing occupi biggest part heart gud ni8,158,34,1
0,know pl open back,42,12,2
0,ye see ya dot,25,7,1
0,what staff name take class us,48,11,1
1,freemsg repli text randi sexi femal live local luv hear netcollex ltd 08700621170150p per msg repli stop end,159,35,3
0,call check life begin qatar pl pray hard,84,16,1
0,k delet contact,33,9,1
0,sindu got job birla soft,30,7,1
0,wine flow never,45,11,1
0,yup thk cine better co need 2 go 2 plaza mah,59,16,1
0,ok ur typic repli,25,6,1
0,everywher dirt floor window even shirt sometim open mouth come flow dream world without half chore time joy lot tv show see guess like thing must exist like rain hail mist time done becom one,384,95,5
0,aaooooright work,28,6,1
0,leav hous,27,7,1
0,hello love get interview today happi good boy think miss,157,41,6
1,custom servic annonc new year deliveri wait pleas call 07046744435 arrang deliveri,124,21,3
1,winner u special select 2 receiv cash 4 holiday flight inc speak live oper 2 claim 0871277810810,148,30,1
0,keep safe need miss alreadi envi everyon see real life,115,25,1
0,new car hous parent new job hand,64,19,2
0,love excit day spend make happi,85,24,3
1,stop bootydeli invit friend repli see stop send stop frnd 62468,152,29,3
1,bangbab ur order way u receiv servic msg 2 download ur content u goto wap bangb tv ur mobil menu,155,35,5
0,place ur point e cultur modul alreadi,51,11,1
1,urgent tri contact last weekend draw show prize guarante call claim code s89 valid 12hr,159,32,6
0,hi frnd best way avoid missunderstd wit belov one,74,16,1
0,great escap fanci bridg need lager see tomo,67,15,3
0,ye complet form clark also utter wast,59,16,1
0,sir need axi bank account bank address,50,12,1
0,hmmm thk sure got time hop ard ya go 4 free abt muz call u discuss liao,94,25,2
0,time come later,33,7,1
0,bloodi hell cant believ forgot surnam mr ill give u clue spanish begin,105,24,2
0,well gon na finish bath good fine night,61,18,2
0,let know got money carlo make call,65,15,1
0,u still go mall,26,7,1
0,turn friend stay whole show wo back til lt gt feel free go ahead smoke lt gt worth,146,43,1
0,text doesnt repli let know log,66,17,2
0,hi spoke maneesha like know satisfi experi repli toll free ye,126,29,3
0,lift hope offer money need especi end month approach hurt studi anyway gr8 weekend,159,34,4
0,lol u trust,23,8,2
0,gentleman treat digniti respect,65,15,2
0,guy close,24,7,1
0,go noth,26,4,1
0,hello handsom find job lazi work toward get back net mummi boytoy miss,152,33,6
0,haha awesom minut,34,8,1
1,pleas call custom servic repres freephon 0808 145 4742 guarante cash prize,153,25,1
0,got xma radio time get,55,14,2
0,ju reach home go bath first si use net tell u finish k,88,22,3
1,uniqu enough find 30th august,72,12,3
0,sorri join leagu peopl dont keep touch mean great deal friend time even great person cost great,185,44,5
0,hi final complet cours,37,10,1
0,stop howev suggest stay someon abl give or everi stool,111,24,2
0,hope settl new school year wishin gr8 day,92,22,3
0,gud mrng dear hav nice day,28,7,1
0,u got person stori,28,6,1
0,hamster dead hey tmr meet 1pm orchard mrt,64,16,2
0,hi kate even hope see tomorrow bit bloodi babyjontet txt back u xxx,131,34,4
0,found enc lt gt,40,16,1
0,sent lt gt buck,28,11,1
0,hello darlin ive finish colleg txt u finish u love kate xxx,84,18,1
0,account refil success inr lt decim gt keralacircl prepaid account balanc rs lt decim gt transact id kr lt gt,174,44,3
0,goodmorn sleep ga,24,4,1
0,u call alter 11 ok,25,8,1
0,say like dat dun buy ericsson oso oredi lar,66,15,1
0,aight yo dat straight dogg,28,6,1
0,pleas give us connect today lt decim gt refund bill,86,19,1
0,shoot big load get readi,39,11,1
0,bruv hope great break reward semest,73,18,2
0,home alway chat,26,6,1
0,k k good studi well,23,12,1
0,yup noe leh,25,7,1
0,sound great home,31,8,2
0,final match head toward draw predict,58,10,1
0,tire slept well past night,48,12,2
0,easi ah sen got select mean good,41,10,1
0,take exam march 3,32,8,1
0,yeah think use gt atm regist sure anyway help let know sure readi,159,40,4
0,ok prob take ur time,25,8,2
0,os call ubandu run without instal hard disk use os copi import file system give repair shop,161,33,1
0,u say leh cours noth happen lar say v romant ju bit lor thk e nite sceneri nice leh,119,30,3
1,500 new mobil 2004 must go txt nokia 89545 collect today 2optout,145,27,2
0,would realli appreci call need someon talk,69,15,2
1,u meet ur dream partner soon ur career 2 flyng start 2 find free txt horo follow ur star sign horo ari,137,34,3
0,hey compani elama po mudyadhu,30,6,1
0,life strict teacher bcoz teacher teach lesson amp conduct exam life first conduct exam amp teach lesson happi morn,165,35,4
0,dear good morn,34,8,1
0,get gandhipuram walk cross cut road right side lt gt street road turn first right,109,28,2
0,dear go rubber place,37,8,1
0,sorri batteri die yeah,33,8,1
0,ye tv alway avail work place,48,12,1
1,text meet someon sexi today u find date even flirt join 4 10p repli name age eg sam 25 18 recd thirtyeight penc,157,40,5
0,print oh lt gt come upstair,50,16,2
0,ill littl closer like bu stop street,65,15,1
0,wil reach,38,10,1
0,new theori argument win situat lose person dont argu ur friend kick amp say alway correct,145,37,6
1,u 447801259231 secret admir look 2 make contact r reveal think ur 09058094597,145,27,1
0,tomarrow final hear laptop case cant,51,11,1
0,pleassssssseeeee tel v avent done sportsx,45,7,1
0,okay shine meant sign sound better,83,21,3
0,although told u dat baig face watch realli like e watch u gave co fr thanx 4 everyth dat u done today touch,155,38,1
0,u rememb old commerci,37,8,1
0,late said websit dont slipper,78,20,3
0,ask call ok,30,8,1
0,kalli wont bat 2nd inning,31,7,1
0,didnt work oh ok goodnight fix readi time wake dearli miss good night sleep,146,34,4
1,congratul ur award 500 cd voucher 125gift guarante free entri 2 100 wkli draw txt music 87066 tnc,150,23,1
0,ranjith cal drpd deeraj deepak 5min hold,44,8,1
0,wen ur lovabl bcum angri wid u dnt take serious coz angri childish n true way show deep affect care n luv kettoda manda nice day da,179,41,2
0,,27,8,1
0,up 3day also ship compani take 2wk way usp take week get lag may bribe nipost get stuff,179,40,2
0,back lem know readi,38,11,1
0,necessarili expect done get back though headin,97,20,1
0,mmm yummi babe nice jolt suzi,43,10,1
0,lover need,36,9,2
1,tri contact repli offer video handset 750 anytim network min unlimit text camcord repli call 08000930705,154,31,5
0,park next mini come today think,77,20,2
0,yup,3,1,1
0,anyway go shop co si done yet dun disturb u liao,85,22,3
0,luton 0125698789 ring ur around h,51,14,3
1,hey realli horni want chat see nake text hot 69698 text charg 150pm unsubscrib text stop 69698,121,25,1
0,dint come us,26,7,1
0,wana plan trip sometm,35,8,2
0,sure yet still tri get hold,47,12,1
1,ur rington servic chang 25 free credit go choos content stop txt club stop 87070 club4 po box1146 mk45 2wt,159,32,6
0,evo download flash jealou,47,12,3
1,rington club get uk singl chart mobil week choos top qualiti rington messag free charg,133,27,2
0,come mu sort narcot situat,53,11,1
0,night end anoth day morn come special way may smile like sunni ray leav worri blue blue bay,147,32,2
1,hmv bonu special 500 pound genuin hmv voucher answer 4 easi question play send hmv 86688 info,155,30,4
0,usf guess might well take 1 car,37,10,1
0,object bf come,31,8,2
0,thanx,8,2,1
0,tell rob mack gf theater,38,9,1
0,awesom see bit,30,9,1
0,sent type food like,47,13,2
0,done hand celebr full swing yet,56,13,3
0,got call tool,22,6,1
0,u miss someon,19,4,1
0,ask money far,29,8,2
0,oki,7,2,1
0,yeah think usual guy still pass last night get ahold anybodi let know throw,121,28,1
0,k might come tonight class let earli,58,14,1
0,ok,4,2,1
0,hi babi im cruisin girl friend r u 2 give call hour home that alright fone fone love jenni xxx,148,36,2
0,life mean lot love life love peopl life world call friend call world ge,160,45,1
0,dear shall mail street shall updat look edukkukaye raksha good one real sens,152,26,1
0,hey told name gautham ah,37,9,1
0,haf u found feel stupid da v cam work,55,15,2
0,oop 4 got bit,21,7,2
0,much buzi,22,5,1
0,accident delet messag resend pleas,50,9,2
1,custom may claim free camera phone upgrad pay go sim card loyalti call 0845 021 end c appli,159,33,2
0,unless situat go gurl would appropri,67,13,1
0,hurt teas make cri end life die plz keep one rose grave say stupid miss u nice day bslvyl,153,39,2
0,cant pick phone right pl send messag,51,12,2
0,need coffe run tomo ca believ time week alreadi,67,16,1
0,awesom rememb last time got somebodi high first time diesel v,88,19,1
0,shit realli shock scari cant imagin second def night u think somewher could crash night save taxi,157,36,3
0,oh way food fridg want go meal tonight,91,23,2
0,womdarful actor,24,5,1
1,sm ac blind date 4u rodds1 aberdeen unit kingdom check http sm blind date send hide,146,34,6
0,yup remb think book,57,14,2
0,jo ask u wana meet,26,8,1
0,lol ye friendship hang thread caus u wo buy stuff,71,17,2
1,themob check newest select content game tone gossip babe sport keep mobil fit funki text wap 82468,138,30,1
0,garag key bookshelf,55,12,2
0,today accept day u accept brother sister lover dear1 best1 clos1 lvblefrnd jstfrnd cutefrnd lifpartnr belovd swtheart bstfrnd rpli mean enemi,156,27,2
1,think ur smart win week weekli quiz text play 85222 cs winnersclub po box 84 m26 3uz,136,33,4
0,say give call friend got money definit buy end week,119,27,1
0,hi way u 2day normal way real ur uniqu hope know u 4 rest mylif hope u find wot lost,142,41,3
0,made day great day,41,12,2
0,advanc happi pongal,26,7,1
0,hmmm guess go 4 kb n power yoga haha dunno tahan power yoga anot thk got lo oso forgot liao,119,30,2
0,realli dude friend afraid,46,12,1
1,decemb mobil entitl updat latest colour camera mobil free call mobil updat co free 08002986906,157,30,4
0,coffe cake guess,23,6,1
0,merri christma babe love ya kiss,51,13,1
0,hey dont go watch x men lunch haha,62,15,1
0,cud u tell ppl im gona b bit l8 co 2 buse hav gon past co full im still waitin 4 pete x,107,29,2
0,would great guild could meet bristol road somewher get touch weekend plan take flight good week,157,36,5
0,problem,30,8,2
0,hi da today class,31,10,1
0,say good sign well know track record read women,79,20,1
0,cool text park,32,8,1
0,read text sent meant joke read light,86,23,3
0,apo movi,22,7,1
0,mayb could get book tomo return immedi someth,76,16,2
1,call germani 1 penc per minut call fix line via access number 0844 861 85 prepay direct access,128,28,4
0,chanc might evapor soon violat privaci steal phone number employ paperwork cool pleas contact report supervisor,232,47,3
1,valentin day special win quiz take partner trip lifetim send go 83600 rcvd,161,32,5
0,home babe still,45,12,2
0,cool come havent wine dine,57,13,2
0,sleep surf,26,5,1
0,u call right call hand phone,41,10,2
0,ok great thanx lot,28,8,1
0,take post come must 1000 text happi read one wiv hello carolin end favourit bless,151,35,5
0,u hide stranger,29,6,1
0,interest like,34,8,1
0,sister clear two round birla soft yesterday,52,10,1
0,gudnit tc practic go,33,7,1
0,di yiju ju saw ur mail case huim havent sent u num di num,85,24,4
0,one small prestig problem,31,6,1
1,fanci shag txt xxuk suzi txt cost per msg tnc websit x,111,25,6
0,check realli miss see jeremiah great month,78,17,3
0,nah ca help never iphon,50,13,1
0,car hour half go apeshit,63,17,1
0,today sorri ever angri ever misbehav hurt plz plz slap urself bcoz ur fault basic good,148,36,3
0,yo guy ever figur much need alcohol jay tri figur much safe spend weed,129,29,2
0,lt gt ish minut 5 minut ago wtf,45,16,2
0,thank say happi onam fine rememb met insur qatar insha ex tata aig join tissco tayseer,202,38,1
1,ur current 500 pound maxim ur send cash 86688 cc 08708800282,148,24,2
0,actor work work even sleep late sinc unemploy moment alway sleep late unemploy everi day saturday,168,41,4
0,hello got st long way cold keep post,85,21,4
0,ha ha cool cool chikku chikku,38,12,1
0,oh ok prob,15,5,1
0,check audrey statu right,31,6,1
0,busi tri finish new year look forward final meet,88,19,3
0,good afternoon sunshin dawn day refresh happi aliv breath air smile think love alway,160,37,5
0,well know z take care worri,50,14,2
1,xma offer latest motorola sonyericsson nokia free bluetooth doubl min 1000 txt orang call mobileupd8 08000839402,165,29,4
1,discount code rp176781 stop messag repli stop custom servic 08717205546,129,19,4
0,wat uniform get,26,7,2
0,cool text readi,31,8,1
0,hello boytoy geeee miss alreadi woke wish bed cuddl love,129,32,3
0,spoil bed well,34,10,1
0,go bath msg next lt gt min,54,18,1
0,cant keep talk peopl sure pay agre price pl tell want realli buy much will pay,162,38,2
1,thank rington order refer t91 charg gbp 4 per week unsubscrib anytim call custom servic 09057039994,157,29,3
0,say happen,23,5,1
0,could seen recognis face,53,14,2
0,well lot thing happen lindsay new year sigh bar ptbo blue heron someth go,131,28,1
0,keep payasam rinu bring,36,7,1
0,taught ranjith sir call sm like becau he verifi project prabu told today pa dont mistak,143,31,4
0,guess worri must know way bodi repair quit sure worri take slow first test guid ovul relax noth said reason worri keep followin,300,70,6
0,yeah sure give coupl minut track wallet,59,13,1
0,hey leav big deal take care,42,14,2
0,hey late ah meet,41,11,1
1,doubl min txt 4 6month free bluetooth orang avail soni nokia motorola phone call mobileupd8 08000839402,149,25,3
0,took mr owl 3 lick,22,6,1
0,custom place call,31,7,1
0,mm time dont like fun,30,7,1
1,4mth half price orang line rental latest camera phone 4 free phone 11mth call mobilesdirect free 08000938767 updat or2stoptxt,155,28,4
0,yup lunch buffet u eat alreadi,47,11,1
0,huh late fr dinner,25,7,1
0,hey sat go intro pilat kickbox,80,18,2
0,morn ok,22,6,1
0,ye think offic lap room think that last day didnt shut,115,30,3
0,pick bout time go,56,13,2
0,perform award calcul everi two current one month period,102,17,1
0,actual sleep still might u call back text gr8 rock si send u text wen wake,118,30,4
0,alway put busi put pictur ass facebook one open peopl ever met would think pictur room would hurt make feel violat,221,49,4
0,good even sir al salam happi grace god got offer tayseer tissco allah meet visitor india,204,39,1
0,hmmm k want chang field quickli da wan na get system administr network administr,114,26,1
1,free rington text first 87131 poli text get 87131 true tone help 0845 2814032 16 1st free tone txt stop,162,35,3
0,dear chechi talk,39,10,2
0,hair cream ship,36,8,1
0,none happen til get though,48,10,1
0,yep great loxahatche xma tree burn lt gt start hour,77,20,1
0,haha get use drive usf man know lot stoner,60,15,1
0,well slightli disastr class pm fav darl hope day coffe wld good ca stay late tomorrow time place alway,168,36,3
0,hello good week fanci drink someth later,51,12,3
0,headin toward busetop,22,3,1
0,messag text miss sender name miss number miss sent date miss miss u lot that everyth miss sent via,152,32,1
0,come room point iron plan weekend,75,17,1
0,co want thing,30,8,1
0,oki go yan jiu skip ard oso go cine den go mrt one blah blah blah,95,26,2
0,bring home wendi,24,5,1
1,100 date servic cal l 09064012103 box334sk38ch,49,8,1
0,whatsup dont u want sleep,35,8,2
0,alright new goal,29,7,1
1,free entri weekli competit text word win 80086 18 c,109,21,2
0,alright head minut text meet,66,17,1
1,send logo 2 ur lover 2 name join heart txt love name1 name2 mobno eg love adam eve 07123456789 87077 yahoo pobox36504w45wq txtno 4 ad 150p,159,34,3
0,ye last week take live call,48,13,1
1,someon contact date servic enter phone fanci find call landlin 09111032124 pobox12n146tf150p,162,28,3
0,siva hostel aha,24,8,1
1,urgent mobil number award prize guarante call 09058094455 land line claim valid 12hr,139,26,5
0,send ur friend receiv someth ur voic speak express attitud lt gt lt gt repli,248,49,3
0,guess,25,8,2
0,aathi dear,27,7,1
0,pain urin thing els,37,8,1
0,7 esplanad mind give lift co got car today,70,18,1
0,wnt buy bmw car urgent vri hv shortag lt gt sourc arng di amt lt gt lac that prob,150,44,2
0,home watch tv lor,24,6,1
0,usual take fifteen fuck minut respond ye question,80,15,1
1,congrat nokia 3650 video camera phone call 09066382422 call cost 150ppm ave call 3min vari mobil close 300603 post bcm4284 ldn wc1n3xx,157,27,2
0,book ticket pongal,25,5,1
0,avail like right around hillsborough amp lt gt th,73,21,2
0,messag sent askin lt gt dollar shoul pay lt gt lt gt,89,34,2
0,ask g iouri told stori like ten time alreadi,58,14,1
0,long applebe fuck take,36,6,1
0,hi hope u get hasnt gd 50 min late think,76,18,1
0,like love arrang,47,13,2
0,ye realli great bhaji told kalli best cricket sachin world tough get,104,24,1
0,suppos wake gt,38,12,1
0,oic saw tot din c found group liao,69,20,3
0,hey wereth monkeespeopl say monkeyaround howdi gorgeou,66,10,2
0,sorri batteri die come get gram place,94,25,1
0,well done blimey exercis yeah kinda rememb wot hmm,70,18,1
0,wont get concentr dear know mind everyth,73,16,1
0,lol made plan new year,42,10,1
0,10 min later k,17,5,1
0,hank lotsli,13,3,1
0,thank hope good day today,45,10,1
0,k k detail want transfer acc enough,57,18,1
0,ok tell stay yeah tough optimist thing improv month,105,23,2
1,loan purpos homeown tenant welcom previous refus still help call free 0800 1956669 text back,168,33,5
0,si si think ill go make oreo truffl,47,12,2
0,look ami ure beauti intellig woman like u lot know u like like worri,121,28,2
0,hope result consist intellig kind start ask practicum link keep ear open best ttyl,158,31,3
0,call cost guess isnt bad miss ya need ya want ya love ya,79,22,3
0,go thru differ decis cope heal everyth believ,142,23,1
0,u go phone gon na die stay,62,17,2
0,great never better day give even reason thank god,71,15,3
1,upgrdcentr orang custom may claim free camera phone upgrad loyalti call 0207 153 offer end 26th juli c appli avail,175,37,5
0,sorri call later ok bye,29,8,1
0,ok way railway,29,8,1
0,great princess love give receiv oral doggi style fave posit enjoy make love lt gt time per night,148,37,5
0,put stuff road keep get slipperi,83,18,1
0,go ride bike,37,9,1
0,yup need ju wait 4 e rain 2 stop,44,15,2
0,mani compani tell languag,45,10,2
1,okmail dear dave final notic collect 4 tenerif holiday 5000 cash award call 09061743806 landlin tc sae box326 cw25wx 150ppm,161,32,3
0,long sinc scream princess,50,11,1
0,noth meant money enter account bank remov flat rate someon transfer lt gt account lt gt dollar got remov bank differ charg also sure trust 9ja person send account detail co,298,67,4
1,want 2 get laid tonight want real dog locat sent direct 2 ur mob join uk largest dog network txting moan 69888nyt ec2a 150p,159,34,5
0,nice line said broken plz cum 1 time infront wise trust u good 9t,125,31,1
0,ok gon na head usf like fifteen minut,51,13,1
0,love aathi love u lot,28,8,1
0,tension ah machi problem,34,9,1
0,k pick anoth 8th done,46,13,1
0,guy get back g said think stay mcr,81,17,2
0,almost see u sec,28,8,1
0,yo carlo friend alreadi ask work weekend,90,20,1
0,watch tv lor,18,4,1
0,thank babi cant wait tast real thing,54,13,2
0,chang fb jaykwon thuglyf falconerf,55,9,1
0,win realli 1 side long time,45,12,1
1,free messag activ 500 free text messag repli messag word free term condit visit,146,24,1
0,dear reach railway happen,40,8,2
0,depend qualiti want type sent boy fade glori want ralph mayb 2,107,26,3
0,think fix send test messag,50,13,1
0,sorri man account dri would want could trade back half could buy shit credit card,120,28,1
1,congrat 1 year special cinema pass 2 call 09061209465 c suprman v matrix3 starwars3 etc 4 free 150pm dont miss,160,37,7
0,sorri meet call later,32,8,1
0,class lt gt reunion,34,12,1
0,free call,32,10,1
0,got meh,16,5,2
0,nope think go monday sorri repli late,67,16,3
0,told accentur confirm true,55,13,2
0,kate jackson rec center 7ish right,43,9,1
0,dear reach room,23,5,1
0,fight world easi u either win lose bt fightng some1 close u dificult u lose u lose u win u still lose,149,37,1
0,come,22,6,1
0,check nuerologist,23,4,1
0,lolnic went fish water,40,12,3
1,congratul week competit draw u prize claim call 09050002311 b4280703 sm 18 150ppm,172,32,3
0,wait e car dat bore wat co wait outsid got noth 2 home stuff watch tv wat,117,31,3
0,mayb westshor hyde park villag place near hous,62,13,1
0,know anthoni bring money school fee pay rent stuff like that need help friend need,166,41,6
0,signific,24,5,1
0,opinion jada kusruthi lovabl silent spl charact matur stylish simpl pl repli,136,37,11
0,8 latest g still scroung ammo want give new ak tri,99,25,1
0,prabha soryda reali frm heart sori,45,13,1
0,lol ok forgiven,23,6,1
0,jst chang tat,25,7,1
1,guarante latest nokia phone 40gb ipod mp3 player prize txt word collect 83355 ibhltd ldnw15h,150,30,3
0,competit,26,8,1
1,boltblu tone 150p repli poli mono eg poly3 cha cha slide yeah slow jamz toxic come stop 4 tone txt,146,39,6
1,credit top http renew pin tgxxrz,89,15,1
0,way transport less problemat sat night way u want ask n join bday feel free need know definit no book fri,168,40,3
0,usual person unconsci children adult may behav abnorm call,117,22,2
0,ebay might less elsewher,46,11,1
0,shall come get pickl,26,6,1
0,gon na go get taco,28,7,1
0,rude campu,32,9,1
1,urgent mobil award bonu caller prize 2nd attempt contact call box95qu,147,29,5
0,hi wo b ard 4 christma enjoy n merri,57,16,2
1,today offer claim ur worth discount voucher text ye 85023 savamob member offer mobil cs sub 16 unsub repli x,164,36,8
0,ye pretti ladi like singl,42,11,2
